Best Fitness, Average Fitness, Worst Fitness
63, 56.51, 33
63, 56.64, 37
63, 55.61, 41
63, 55.46, 43
63, 56.01, 38
63, 55.63, 33
64, 55.82, 42
63, 55.62, 38
62, 55.6, 37
62, 56.0, 37
62, 55.22, 40
61, 55.21, 43
62, 54.73, 39
61, 54.64, 33
62, 55.53, 36
62, 55.27, 39
63, 55.01, 35
63, 55.67, 37
62, 55.24, 41
62, 55.04, 40
63, 54.87, 40
63, 54.98, 38
62, 55.51, 46
62, 55.71, 42
62, 54.67, 37
62, 55.39, 40
62, 54.75, 43
63, 55.44, 37
62, 55.38, 42
62, 55.33, 43
63, 56.04, 43
63, 56.12, 42
62, 56.29, 37
62, 56.09, 38
62, 55.58, 40
62, 56.44, 45
62, 55.34, 29
63, 55.24, 41
63, 56.32, 36
63, 56.62, 34
63, 56.32, 37
64, 56.37, 41
62, 56.26, 40
63, 56.28, 42
63, 56.34, 36
63, 55.97, 39
63, 55.81, 35
63, 55.49, 43
63, 55.78, 41
63, 55.73, 36
62, 55.72, 41
62, 55.4, 37
63, 55.16, 35
63, 56.22, 44
63, 55.55, 36
63, 55.59, 40
63, 56.01, 40
63, 55.7, 33
64, 55.89, 39
64, 56.53, 41
63, 56.05, 35
64, 56.54, 43
63, 55.56, 39
63, 56.08, 37
64, 56.36, 39
63, 56.25, 25
63, 56.17, 40
64, 56.83, 42
64, 56.48, 36
64, 56.33, 34
63, 56.46, 36
63, 56.5, 44
63, 57.14, 38
63, 57.41, 42
64, 56.96, 38
64, 57.05, 36
64, 57.44, 39
64, 58.16, 41
64, 58.13, 39
64, 57.68, 36
64, 58.11, 40
64, 58.45, 43
64, 58.25, 41
64, 57.96, 37
64, 58.17, 36
64, 58.4, 45
64, 58.9, 43
64, 58.35, 43
64, 57.96, 41
64, 57.48, 40
64, 57.39, 42
64, 57.5, 41
64, 57.8, 43
64, 58.03, 44
64, 57.85, 39
64, 58.65, 45
64, 58.61, 39
64, 57.67, 42
64, 57.69, 44
64, 56.54, 37
64, 56.81, 44
64, 57.0, 40
64, 56.97, 42
63, 56.89, 42
63, 56.21, 34
63, 56.82, 38
63, 58.15, 44
64, 57.99, 42
64, 57.7, 38
64, 57.27, 42
64, 57.28, 43
64, 57.19, 43
64, 57.57, 35
63, 57.19, 42
63, 56.51, 42
63, 56.45, 40
63, 55.75, 39
63, 56.55, 38
63, 56.79, 32
63, 57.65, 43
63, 57.21, 39
64, 57.03, 41
64, 57.09, 42
64, 57.63, 45
64, 57.39, 36
64, 57.3, 40
