Best Fitness, Average Fitness, Worst Fitness
369.0, 141.935, 31.0
362.0, 141.995, 19.0
353.0, 153.85, 37.0
351.0, 163.435, 43.0
334.0, 165.09, 60.0
273.0, 157.05, 47.0
283.0, 157.03, 34.0
316.0, 162.555, 24.0
352.0, 164.565, 55.0
354.0, 165.2, 42.0
309.0, 167.36, 49.0
346.0, 159.88, 38.0
314.0, 161.87, 49.0
360.0, 159.67, 32.0
383.0, 173.28, 53.0
335.0, 173.385, 55.0
421.0, 165.515, 44.0
333.0, 168.2, 60.0
328.0, 169.055, 35.0
394.0, 155.18, 40.0
272.0, 146.94, 38.0
282.0, 140.12, 37.0
371.0, 142.985, 33.0
345.0, 124.51, 29.0
277.0, 125.49, 32.0
258.0, 133.39, 36.0
286.0, 131.47, 22.0
268.0, 139.14, 28.0
276.0, 133.01, 30.0
275.0, 133.775, 45.0
295.0, 140.115, 40.0
309.0, 146.715, 33.0
325.0, 145.24, 19.0
333.0, 154.83, 30.0
288.0, 151.41, 43.0
297.0, 148.235, 50.0
333.0, 141.93, 28.0
277.0, 131.485, 44.0
341.0, 133.685, 30.0
276.0, 134.45, 34.0
299.0, 141.86, 36.0
277.0, 146.495, 24.0
302.0, 140.43, 43.0
335.0, 141.585, 42.0
285.0, 141.425, 27.0
283.0, 143.155, 42.0
271.0, 137.12, 50.0
355.0, 134.32, 39.0
271.0, 135.26, 49.0
345.0, 142.445, 24.0
409.0, 147.415, 28.0
417.0, 148.165, 5.0
263.0, 141.035, 21.0
299.0, 141.64, 31.0
292.0, 134.97, 35.0
268.0, 136.035, 30.0
228.0, 139.57, 36.0
309.0, 131.21, 26.0
268.0, 127.425, 36.0
310.0, 131.58, 39.0
293.0, 144.1, 37.0
269.0, 131.73, 34.0
290.0, 142.355, 45.0
262.0, 138.82, 31.0
292.0, 139.565, 47.0
297.0, 138.495, 32.0
295.0, 138.72, 47.0
294.0, 138.31, 38.0
349.0, 133.56, 21.0
319.0, 142.62, 44.0
334.0, 146.685, 41.0
337.0, 153.25, 53.0
314.0, 147.5, 39.0
321.0, 161.435, 54.0
338.0, 162.49, 29.0
370.0, 164.335, 49.0
295.0, 155.345, 48.0
282.0, 150.855, 33.0
297.0, 155.385, 56.0
314.0, 141.62, 18.0
327.0, 144.045, 39.0
307.0, 144.615, 36.0
315.0, 144.375, 33.0
394.0, 154.89, 36.0
324.0, 153.285, 43.0
349.0, 158.725, 39.0
371.0, 152.415, 25.0
327.0, 160.27, 32.0
328.0, 156.26, 22.0
294.0, 156.485, 26.0
354.0, 164.905, 34.0
361.0, 164.01, 45.0
295.0, 159.595, 52.0
415.0, 169.36, 47.0
326.0, 164.84, 50.0
471.0, 172.375, 39.0
366.0, 160.9, 39.0
344.0, 158.4, 34.0
303.0, 159.31, 48.0
334.0, 160.25, 49.0
330.0, 155.6, 43.0
299.0, 163.305, 58.0
367.0, 162.065, 27.0
